Date,Fish_Type,Supply_Kg,Price_Per_Kg,Fuel_price,Ice_price_per_block
2024/1/22,Talakitok (Crevalle),"1,233 Kg",264,59.4,160
2024/1/22,Tamban (Indian Sardines),"5,363 Kg",80,59.4,160
2024/1/22,Sting Ray,249 Kg,91,59.4,160
2024/1/22,Tanguigue (Spanish Mackerel),279 Kg,301,59.4,160
2024/1/22,Tulingan (Frigate Tuna),"1,236 Kg",184,59.4,160
2024/1/23,Alumahan (Striped Mackerel),"1,776 Kg",166,60.7,160
2024/1/23,Bangus (Milk Fish),"101,326 Kg",211,60.7,160
2024/1/23,Bariles (Yellow Fin Tuna),345 Kg,221,60.7,160
2024/1/23,Culisi (Nemipterid),"2,181 Kg",130,60.7,160
2024/1/23,Galunggong (Round Scad),"5,296 Kg",145,60.7,160
